,Name,Email,Telefon,Links
0,Private barnehager,None,None,https://www.bergen.kommune.no//omkommunen/avdelinger/private-barnehager
1,Gnist barnehager Festeråsen AS,leder.festerasen@gnistbarnehager.no, 922 79 122,https://www.bergen.kommune.no//omkommunen/avdelinger/gnist-barnehager-festerasen-as
2,Gnist Barnehager Rollandslia AS,leder.rollandslia@gnistbarnehager.no, 41 53 79 05,https://www.bergen.kommune.no//omkommunen/avdelinger/gnist-barnehager-rollandslia-as
3,Læringsverkstedet barnehage Avd Steinsvikkroken barnehage,steinsvikkroken@laringsverkstedet.no, 408 78 635,https://www.bergen.kommune.no//omkommunen/avdelinger/laringsverkstedet-barnehage-avd-steinsvikkroken-barnehage
4,Læringsverkstedet barnehage Avd Våganeset barnehage,asane@laringsverkstedet.no, 55183200/47415420,https://www.bergen.kommune.no//omkommunen/avdelinger/laringsverkstedet-barnehage-avd-vaganeset-barnehage
5,Nlm Barnehagene Avd. Solgløtt barnehage,ajbe@broadpark.no, 55 347240,https://www.bergen.kommune.no//omkommunen/avdelinger/nlm-barnehagene-avd-solglott-barnehage
6,NLM barnehagene AS avd Hordvik barnehage,hordvik@nlmbhg.no, 55191691,https://www.bergen.kommune.no//omkommunen/avdelinger/nlm-barnehagene-as-avd-hordvik-barnehage
7,Apeltun barnehage,None, 53033840,https://www.bergen.kommune.no//omkommunen/avdelinger/apeltun-barnehage
8,Arnatveit barnehage,None, 53033880/53033884,https://www.bergen.kommune.no//omkommunen/avdelinger/arnatveit-barnehage
9,Aurdalslia barnehage,None, 55561775,https://www.bergen.kommune.no//omkommunen/avdelinger/aurdalslia-barnehage
10,Betanien barnehage,anne.bjorkbom.knutsen@betanien.no, 55 50 72 30,https://www.bergen.kommune.no//omkommunen/avdelinger/betanien-barnehage
11,Bjørgedalen barnehage,None, 53034060,https://www.bergen.kommune.no//omkommunen/avdelinger/bjorgedalen-barnehage
12,Blokkhaugen barnehage,None, 53034070,https://www.bergen.kommune.no//omkommunen/avdelinger/blokkhaugen-barnehage
13,Blokksberg barnehage,blokksberg.barnehage@sammen.no, 55 25 65 41,https://www.bergen.kommune.no//omkommunen/avdelinger/blokksberg-barnehage
14,Bogane barnehage,None, 53034080,https://www.bergen.kommune.no//omkommunen/avdelinger/bogane-barnehage
15,Bortigard barnehage,bortigard.barnehage@sammen.no, 55 54 50 59,https://www.bergen.kommune.no//omkommunen/avdelinger/bortigard-barnehage
16,Brinken barnehage,None, 53034150,https://www.bergen.kommune.no//omkommunen/avdelinger/brinken-barnehage
17,Bønes barnehage,None, 53034160,https://www.bergen.kommune.no//omkommunen/avdelinger/bones-barnehage
18,Eidsvågneset barnehage,bhg.com, 55257562/48107709,https://www.bergen.kommune.no//omkommunen/avdelinger/eidsvagneset-barnehage
19,Einerhaugen barnehage,einer.bh@online.no, 55 52 75 20,https://www.bergen.kommune.no//omkommunen/avdelinger/einerhaugen-barnehage
20,Eldsbakkane barnehage,None, 53034180,https://www.bergen.kommune.no//omkommunen/avdelinger/eldsbakkane-barnehage
21,Eldshovden barnehage,barnehage@eldshovden.no, 55 98 97 00,https://www.bergen.kommune.no//omkommunen/avdelinger/eldshovden-barnehage
22,Energiparken barnehage,post@eparken.no, 55 991407,https://www.bergen.kommune.no//omkommunen/avdelinger/energiparken-barnehage
23,Ervik barnehage,None, 53034250,https://www.bergen.kommune.no//omkommunen/avdelinger/ervik-barnehage
24,Fagertun barnehage,fagertun.barnehage@sammen.no, 55 30 19 40,https://www.bergen.kommune.no//omkommunen/avdelinger/fagertun-barnehage
25,Fanatunet barnehage,post@fanatunet.no, 55 92 22 00,https://www.bergen.kommune.no//omkommunen/avdelinger/fanatunet-barnehage
26,Fantoft barnehage,fantoft.barnehage@sammen.no, 988 25 551,https://www.bergen.kommune.no//omkommunen/avdelinger/fantoft-barnehage
27,Flaktveit barnehage,Flaktveit.barnehage@bergen.kommune.no, 53034270,https://www.bergen.kommune.no//omkommunen/avdelinger/flaktveit-barnehage
28,Fremtiden barnehage,styrer@fremtidenbarnehage.no, 55984830,https://www.bergen.kommune.no//omkommunen/avdelinger/fremtiden-barnehage
29,Fridalen barnehage,fridalen.as, 97975918,https://www.bergen.kommune.no//omkommunen/avdelinger/fridalen-barnehage
30,Godvik barnehage,frid@godvikbhg.no, 55 15 37 02,https://www.bergen.kommune.no//omkommunen/avdelinger/godvik-barnehage
31,Grønskjeret barnehage,styrer@gronskjeret.no, 484 92 221,https://www.bergen.kommune.no//omkommunen/avdelinger/gronskjeret-barnehage
32,Grøntulien barnehage,None, 53034330,https://www.bergen.kommune.no//omkommunen/avdelinger/grontulien-barnehage
33,Gullstølsbotn barnehage,None, 53038275,https://www.bergen.kommune.no//omkommunen/avdelinger/gullstolsbotn-barnehage
34,Gyldenpris barnehage,None, 55567780/86,https://www.bergen.kommune.no//omkommunen/avdelinger/gyldenpris-barnehage
35,Haugatun barnehage,None, 53034350,https://www.bergen.kommune.no//omkommunen/avdelinger/haugatun-barnehage
36,Haugeveien barnehage,None, 53032305,https://www.bergen.kommune.no//omkommunen/avdelinger/haugeveien-barnehage
37,Heimly barnehage,barnehage.org, 55 18 02 44,https://www.bergen.kommune.no//omkommunen/avdelinger/heimly-barnehage
38,Håkonshella barnehage,dl.haakonshella@bhg.no, 55 93 03 30,https://www.bergen.kommune.no//omkommunen/avdelinger/hakonshella-barnehage
39,Idavollen barnehage,None, 53034370,https://www.bergen.kommune.no//omkommunen/avdelinger/idavollen-barnehage
40,Jekteviken barnehage,jekteviken.barnehage@sammen.no, 90403353,https://www.bergen.kommune.no//omkommunen/avdelinger/jekteviken-barnehage
41,Kaland barnehage,kaland.barnehage.com, 55 119170,https://www.bergen.kommune.no//omkommunen/avdelinger/kaland-barnehage
42,Kalfarveien barnehage,None, 53034390,https://www.bergen.kommune.no//omkommunen/avdelinger/kalfarveien-barnehage
